"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"899","Ronald Curry",17,76,3.57894736842105,NA,5.7,NA,345,NA,NA,NA,NA,NA,NA,"",NA,NA,35,NA,NA,695,NA,49.6,28,4987,7.2,"ronald-curry-1",349,78,"QB",NA,113.1,0,2,2,1,348,13,1249,3.6,13,NA,NA,"Career",NA,NA,"North Carolina",NA,13,NA,NA,1251,3.6,NA,NA,NA,NA,"Career"
"900","Vinny Curry",22,112,3.14285714285714,"Career",NA,128,NA,NA,NA,10,2,0,NA,"",0,0,NA,NA,NA,NA,4,NA,NA,NA,NA,"vinny-curry-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.5,NA,"Career",111,49,"Marshall",239,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"901","Kevin Curtis",28,81,5.53086419753086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",10,1,NA,0,NA,NA,NA,NA,NA,NA,NA,"kevin-curtis-1",NA,6,"DB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Texas Tech",NA,1,NA,NA,NA,NA,NA,144,14.4,NA,"Career"
"902","Tony Curtis",0,36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"903","Brian Cushing",60,104,9.23076923076923,"Career",NA,74,NA,0,0,0,0,0,NA,"",1,0,NA,1,0,NA,2,NA,NA,NA,NA,"brian-cushing-1",NA,6,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,0,"Career",104,27,"USC",178,1,0,NA,NA,NA,0,0,0,NA,NA
"904","Jay Cutler",109,153,11.3986928104575,NA,6.6,0,710,NA,NA,NA,NA,NA,NA,"",0,0,36,NA,NA,1242,NA,57.2,59,8697,7,"jay-cutler-1",453,102,"QB",NA,125.9,NA,NA,NA,NA,453,17,1256,2.8,17,0,NA,"Career",1,0,"Vanderbilt",1,17,NA,NA,1256,2.8,NA,0,NA,NA,"Career"
"905","Jacob Cutrera",1,24,0.666666666666667,"Career",NA,103,NA,0,0,1,0,0,NA,"",2,1,NA,0,0,NA,2,NA,NA,NA,NA,"jacob-cutrera-1",NA,6,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"Career",69,12,"LSU",172,1,0,NA,NA,NA,0,38,19,NA,NA
"906","Johnathan Cyprien",26,75,5.54666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"907","Craig Dahl",24,117,3.28205128205128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"908","Harvey Dahl",37,87,6.80459770114942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
