"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"57","Titus Brown",2,28,1.14285714285714,"Career",NA,44,NA,NA,NA,3,1,0,NA,"",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,"titus-brown-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,"Career",67,33.5,"Mississippi State",111,NA,NA,NA,NA,NA,44,NA,NA,NA,NA
"58","Zach Brown",45,100,7.2,"Career",NA,0,NA,NA,NA,0,0,0,NA,"",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"zach-brown-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Arizona State",2,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"59","Corbin Bryant",12,56,3.42857142857143,"Career",NA,38,NA,NA,NA,1,0,0,NA,"",1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"corbin-bryant-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,"Career",51,19.5,"Northwestern",89,NA,NA,NA,NA,NA,0,17,17,NA,NA
"60","Copeland Bryan",3,22,2.18181818181818,NA,NA,10,NA,NA,NA,1,0,0,NA,"",0,0,NA,NA,NA,NA,5,NA,NA,NA,NA,"copeland-bryan-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,"Career",29,10.5,"Arizona",39,NA,NA,NA,NA,NA,0,0,NA,NA,"Career"
"61","Red Bryant",36,86,6.69767441860465,"Career",NA,44,NA,NA,NA,1,0,0,NA,"",NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,"red-bryant-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",21,8.5,"Texas A&M",65,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"62","Taven Bryan",6,32,3,"Career",NA,32,NA,NA,NA,1,3,NA,NA,"5-Jun",1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"taven-bryan-1",1,NA,"DL",NA,NA,0,0,NA,0,1,0,-1,-1,0,5.5,NA,"Career",30,10.5,"Florida",62,NA,NA,293,-1,-1,NA,0,0,NA,NA
"63","Michael Buchanan",0,18,0,"Career",NA,93,NA,NA,NA,1,0,0,NA,"",1,0,NA,NA,NA,NA,4,NA,NA,NA,NA,"michael-buchanan-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,"Career",68,26,"Illinois",161,NA,NA,NA,NA,NA,0,0,0,NA,NA
"64","Jonathan Bullard",9,55,2.61818181818182,"Career",NA,83,NA,NA,NA,0,0,0,NA,"3-Jun",0,0,NA,NA,NA,NA,5,NA,NA,NA,NA,"jonathan-bullard-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,"Career",92,34,"Florida",175,NA,NA,283,NA,NA,0,0,NA,NA,NA
"65","Brodrick Bunkley",49,130,6.03076923076923,NA,NA,27,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"brodrick-bunkley-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,"Career",39,25,"Florida State",66,NA,NA,NA,NA,NA,0,NA,NA,NA,"Career"
"66","Derrick Burgess",47,102,7.37254901960784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"derrick-burgess-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Ole Miss",NA,NA,NA,NA,NA,NA,NA,3,1.5,NA,"Career"
"67","Kaelin Burnett",1,27,0.592592592592593,"Career",NA,52,NA,NA,NA,2,0,NA,NA,"",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"kaelin-burnett-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,"Career",41,14,"Nevada",93,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
