name,approximate_value,games.x,AVp16,X1,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games.y,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year,X
Sharrif Floyd,13,44,4.72727272727273,Career,,13.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,sharrif-floyd-1,,,DL,,,,,,,,,,,,0.0,,Career,10.0,6.5,Florida,23.0,,,,,,0.0,,,,
Andre Fluellen,9,81,1.77777777777778,Career,,41.0,,,,0.0,0.0,0.0,,,,,,,,,3.0,,,,,andre-fluellen-1,,,DL,,,,,,,,,,,,5.5,,Career,34.0,17.5,Florida State,75.0,,,,,,0.0,,,,
Poona Ford,8,26,4.92307692307692,Career,,43.0,,,,3.0,2.0,,,Jun-00,0.0,0.0,,,,,2.0,,,,,poona-ford-1,,,DL,,,,,,,,,,,,4.0,,Career,90.0,20.5,Texas,133.0,,,305.0,,,,0.0,,,
Eric Foster,12,49,3.91836734693878,Career,,77.0,,,,0.0,0.0,0.0,,Jun-00,1.0,0.0,,,,,4.0,,,,,eric-foster-1,,,DL,,,,,,,,,,,,13.5,,Career,46.0,31.5,Rutgers,123.0,,,185.0,,,0.0,1.0,1.0,,
Glenn Foster,1,17,0.941176470588235,Career,,48.0,,,,0.0,0.0,0.0,,,1.0,0.0,,,,,0.0,,,,,glenn-foster-1,,,DL,,,,,,,,,,,,4.0,,Career,25.0,11.0,Illinois,73.0,,,,,,0.0,7.0,7.0,,
Jonathan Freeny,10,68,2.35294117647059,Career,,51.0,,,,2.0,0.0,0.0,,,1.0,0.0,,,,,4.0,,,,,jonathan-freeny-1,,,DL,,,,,,,,,,,,11.0,,Career,41.0,20.5,Rutgers,92.0,,,,,,0.0,0.0,0.0,,
Sione Fua,5,40,2.0,Career,,43.0,,,,2.0,0.0,0.0,,,0.0,0.0,,,,,2.0,,,,,sione-fua-1,,,DL,,,,,,,,,,,,9.0,,Career,37.0,16.0,Stanford,80.0,,,,,,0.0,0.0,,,
Junior Galette,21,80,4.2,Career,,59.0,,,,3.0,0.0,0.0,,,0.0,0.0,,,,,7.0,,,,,junior-galette-1,,,DL,,,,,,,,,,,,16.0,,Career,80.0,27.0,Temple,139.0,,,,,,0.0,0.0,,,
Antonio Garay,15,56,4.28571428571429,,,,,,,,,,,,1.0,0.0,,,,,,,,,,antonio-garay-1,,,DL,,,,,,,,,,,,,,Career,,,Boston College,,,,,,,,49.0,49.0,,Career
Ben Garland,11,63,2.79365079365079,Career,,63.0,,,,3.0,0.0,0.0,,,,,,,,,4.0,,,,,ben-garland-1,,,DL,,,,,,,,,,,,11.5,,Career,52.0,21.0,Air Force,115.0,,,,,,0.0,,,,
Myles Garrett,23,37,9.94594594594595,Career,,60.0,,,,7.0,1.0,,,4-Jun,1.0,0.0,,,,,5.0,,,,,myles-garrett-1,,,DL,,,,,,,,,,,,31.0,,Career,81.0,47.0,Texas A&M,141.0,,,272.0,,,,4.0,4.0,,
Clifton Geathers,4,40,1.6,Career,,25.0,,,,3.0,0.0,0.0,,,,,,,,,1.0,,,,,clifton-geathers-1,,,DL,,,,,,,,,,,,6.0,,Career,47.0,12.0,South Carolina,72.0,,,,,,0.0,,,,
Robert Geathers,55,152,5.78947368421053,,,,,,,,1.0,0.0,,,2.0,0.0,,,,,,,,,,robert-geathers-1,,,DL,,,,,,,,,,,,,,Career,,,Georgia,,,,,,,2.0,9.0,4.5,,Career
Vernon Gholston,8,45,2.84444444444444,Career,,40.0,,0.0,0.0,0.0,1.0,1.0,,,1.0,0.0,,0.0,0.0,,0.0,,,,,vernon-gholston-1,,6.0,DL,0.0,,,,,,,,,,,22.5,0.0,Career,47.0,30.5,Ohio State,87.0,1.0,0.0,,,,25.0,8.0,8.0,,
William Gholston,28,103,4.3495145631067995,Career,,80.0,,,,2.0,1.0,0.0,,,0.0,0.0,,,,,13.0,,,,,william-gholston-1,,,DL,,,,,,,,,,,,10.0,,Career,62.0,30.0,Michigan State,142.0,,,,,,0.0,0.0,,,
Reggie Gilbert,5,29,2.75862068965517,Career,,54.0,,,,4.0,0.0,0.0,,4-Jun,0.0,0.0,,,,,2.0,,,,,reggie-gilbert-1,,,DL,,,,,,,,,,,,14.0,,Career,90.0,28.0,Arizona,144.0,,,262.0,,,0.0,0.0,,,
Wallace Gilberry,27,124,3.48387096774194,Career,,73.0,,,,3.0,0.0,0.0,,,,,,,,,4.0,,,,,wallace-gilberry-1,,,DL,,,,,,,,,,,,15.0,,Career,87.0,46.0,Alabama,160.0,,,,,,0.0,,,,
Markus Golden,23,62,5.93548387096774,Career,,65.0,,0.0,0.0,5.0,5.0,1.0,,3-Jun,1.0,1.0,,0.0,0.0,,2.0,,,,,markus-golden-1,,12.0,DL,0.0,,,,,,,,,,,14.5,0.0,Career,78.0,32.5,Missouri,143.0,2.0,0.0,260.0,,,21.0,70.0,70.0,,
Kedric Golston,29,142,3.2676056338028197,,,7.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,kedric-golston-1,,,DL,,,,,,,,,,,,1.0,,Career,13.0,2.0,Georgia,20.0,,,,,,0.0,,,,Career
Malliciah Goodman,5,37,2.16216216216216,Career,,57.0,,,,8.0,0.0,0.0,,,0.0,0.0,,,,,3.0,,,,,malliciah-goodman-1,,,DL,,,,,,,,,,,,12.0,,Career,70.0,23.0,Clemson,127.0,,,,,,0.0,0.0,,,
Adam Gotsis,17,57,4.771929824561401,Career,,38.0,,0.0,0.0,0.0,2.0,1.0,,5-Jun,2.0,0.0,,0.0,0.0,,4.0,,,,,adam-gotsis-1,,6.0,DL,0.0,,,,,,,,,,,11.5,,Career,67.0,26.0,Georgia Tech,105.0,1.0,,282.0,,,1.0,2.0,1.0,,
Brandon Graham,54,143,6.04195804195804,Career,,52.0,,0.0,0.0,6.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,1.0,,,,,brandon-graham-1,,6.0,DL,1.0,,,,,,,,,,,29.5,0.0,Career,86.0,56.0,Michigan,138.0,1.0,0.0,,,,0.0,0.0,,,
Everson Griffen,71,147,7.72789115646258,Career,,36.0,,,,3.0,1.0,0.0,,,,,,,,,3.0,,,,,everson-griffen-1,,,DL,,,,,,,,,,,,18.0,,Career,48.0,21.0,USC,84.0,,,,,,9.0,,,,
Quentin Groves,21,100,3.36,Career,,36.0,,,,5.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,,quentin-groves-1,,,DL,,,,,,,,,,,,19.0,,Career,60.0,28.0,Auburn,96.0,,,,,,0.0,0.0,,,
