name,approximate_value,games.x,AVp16,X1,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games.y,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year,X
Kenjon Barner,4,68,0.941176470588235,Career,,0.0,,,,,,,,,0.0,0.0,,1.0,,,,,,,,kenjon-barner-1,636.0,300.0,RB,1.0,,7.0,591.0,10.9,54.0,582.0,41.0,3623.0,6.2,48.0,0.0,,Career,8.0,0.0,Oregon,8.0,50.0,,,4214.0,6.6,,0.0,,,
Anthony Barr,53,85,9.976470588235289,Career,,47.0,,0.0,0.0,6.0,4.0,,,4-Jun,0.0,0.0,,0.0,,,1.0,,,,,anthony-barr-1,27.0,12.0,RB,0.0,,1.0,82.0,6.8,12.0,15.0,1.0,54.0,3.6,2.0,23.5,,Career,105.0,41.5,UCLA,152.0,2.0,,248.0,136.0,5.0,,0.0,,,
Jackie Battle,7,96,1.16666666666667,,,0.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,jackie-battle-1,447.0,186.0,RB,,,0.0,45.0,7.5,6.0,441.0,31.0,2120.0,4.8,31.0,0.0,,Career,2.0,0.0,Houston,2.0,31.0,,,2165.0,4.8,,0.0,,,Career
Kahlil Bell,5,30,2.6666666666666696,Career,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,kahlil-bell-1,424.0,108.0,RB,,0.0,1.0,196.0,6.8,29.0,395.0,17.0,1741.0,4.4,18.0,0.0,,Career,5.0,0.0,UCLA,5.0,18.0,,,1937.0,4.6,,0.0,,,
Le'Veon Bell,65,77,13.506493506493499,Career,29.0,0.0,1.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,1.0,0.0,100.0,0.0,29.0,29.0,leveon-bell-1,749.0,204.0,RB,0.0,343.6,1.0,531.0,6.8,78.0,671.0,33.0,3346.0,5.0,34.0,0.0,,Career,1.0,0.0,Michigan State,1.0,34.0,,,3877.0,5.2,,0.0,,,
Tatum Bell,23,54,6.8148148148148096,,,,,,,,,,,,,,,,,,,,,,,tatum-bell-1,670.0,216.0,RB,,,2.0,258.0,7.2,36.0,634.0,34.0,3409.0,5.4,36.0,,,Career,,,Oklahoma State,,36.0,,,3667.0,5.5,,,,,Career
Cedric Benson,39,96,6.5,,,,,,,,,,,,,,,,,,,,,,,cedric-benson-1,1181.0,402.0,RB,,,3.0,621.0,9.0,69.0,1112.0,64.0,5540.0,5.0,67.0,,,Career,,,Texas,,67.0,,,6161.0,5.2,,,,,Career
Giovani Bernard,42,99,6.78787878787879,Career,,1.0,,,,,,,,,0.0,0.0,,,,,,,,,,giovani-bernard-1,515.0,198.0,RB,2.0,,6.0,852.0,9.3,92.0,423.0,25.0,2481.0,5.9,31.0,0.0,,Career,0.0,0.0,North Carolina,1.0,33.0,,,3333.0,6.5,,0.0,,,
Jahvid Best,13,22,9.45454545454546,Career,,5.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,jahvid-best-1,426.0,210.0,RB,,,6.0,533.0,8.6,62.0,364.0,29.0,2668.0,7.3,35.0,0.0,,Career,10.0,0.0,California,15.0,35.0,,,3201.0,7.5,,0.0,,,
Ladell Betts,37,111,5.33333333333333,,23.0,,1.0,,,,,,,,,,0.0,0.0,,1.0,,100.0,0.0,23.0,23.0,ladell-betts-1,904.0,162.0,RB,,293.2,2.0,702.0,9.8,72.0,832.0,25.0,3686.0,4.4,27.0,,,Career,,,Iowa,,27.0,,,4388.0,4.9,,,,,Career
