"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"25","Budda Baker",20,46,6.95652173913043,"Career",NA,61,NA,NA,NA,3,0,NA,NA,"10-May",5,0,NA,NA,NA,NA,18,NA,NA,NA,NA,"budda-baker-1",1,NA,"DB",NA,NA,0,0,NA,0,1,0,-1,-1,0,4,NA,"Career",138,13,"Washington",199,NA,NA,192,-1,-1,NA,62,12.4,NA,NA
"26","Rashad Baker",4,52,1.23076923076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rashad-baker-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Tennessee",NA,NA,NA,NA,NA,NA,NA,109,9.9,NA,"Career"
"27","Alan Ball",21,108,3.11111111111111,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,"",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alan-ball-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",88,7.5,"Illinois",117,NA,NA,NA,NA,NA,NA,0,0,NA,"Career"
"28","Chris Banjo",5,89,0.898876404494382,"Career",NA,126,NA,NA,NA,0,2,NA,NA,"",4,0,NA,NA,NA,NA,8,NA,NA,NA,NA,"chris-banjo-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",195,9.5,"SMU",321,NA,NA,NA,NA,NA,NA,74,18.5,NA,NA
"29","Johnthan Banks",13,57,3.64912280701754,"Career",NA,82,NA,NA,NA,NA,NA,NA,NA,"",16,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"johnthan-banks-1",NA,24,"DB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Career",139,11.5,"Mississippi State",221,4,NA,NA,NA,NA,NA,320,20,NA,NA
"30","Dominique Barber",5,39,2.05128205128205,"Career",NA,59,NA,0,0,1,2,1,NA,"",4,1,NA,0,0,NA,8,NA,NA,NA,NA,"dominique-barber-1",NA,12,"DB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"Career",128,6.5,"Minnesota",187,2,0,NA,NA,NA,53,57,14.3,NA,NA
"31","Kevin Barnes",3,31,1.54838709677419,"Career",NA,25,NA,NA,NA,0,0,0,NA,"",6,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"kevin-barnes-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",74,5.5,"Maryland",99,NA,NA,NA,NA,NA,0,82,13.7,NA,NA
"32","Josh Barrett",3,25,1.92,"Career",NA,48,NA,NA,NA,NA,NA,NA,NA,"",6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"josh-barrett-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Career",109,14.5,"Arizona State",157,NA,NA,NA,NA,NA,NA,77,12.8,NA,NA
"33","Mark Barron",44,119,5.91596638655462,"Career",NA,86,NA,NA,NA,1,1,NA,NA,"",12,1,NA,NA,NA,NA,11,NA,NA,NA,NA,"mark-barron-1",NA,6,"DB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"Career",149,13,"Alabama",235,1,NA,NA,NA,NA,NA,145,12.1,NA,NA
"34","Eric Bassey",2,18,1.77777777777778,NA,NA,6,NA,0,0,0,0,1,NA,"",3,1,NA,0,0,NA,1,NA,NA,NA,NA,"eric-bassey-1",NA,12,"DB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Career",9,0,"Oklahoma",15,2,0,NA,NA,NA,45,31,10.3,NA,"Career"
