"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"50","Dezmon Briscoe",4,25,2.56,"Career",NA,0,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,"dezmon-briscoe-1",NA,198,"WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",3,0,"Kansas",3,33,NA,NA,NA,NA,NA,0,NA,NA,NA
"51","Kenny Britt",40,116,5.51724137931035,"Career",28,0,1,NA,NA,NA,NA,NA,NA,"",0,0,0,NA,NA,1,NA,100,0,28,28,"kenny-britt-1",NA,108,"WR",NA,335.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Rutgers",2,18,NA,NA,NA,NA,NA,0,NA,NA,NA
"52","Antonio Brown",102,131,12.4580152671756,"Career",9.2,NA,2,NA,NA,NA,NA,NA,NA,"",NA,NA,0,2,NA,5,NA,40,1,26,5.2,"antonio-brown-1",NA,186,"WR",3,149.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Central Michigan",NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Curtis Brown",2,34,0.941176470588235,"Career",NA,1,NA,NA,NA,0,0,0,NA,"",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"curtis-brown-1",NA,NA,"WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Akron",2,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"54","Jaron Brown",13,101,2.05940594059406,"Career",NA,5,NA,NA,NA,0,0,NA,NA,"",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"jaron-brown-1",NA,48,"WR",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",11,0,"Clemson",16,8,NA,NA,NA,NA,NA,0,NA,NA,NA
"55","Marlon Brown",7,38,2.94736842105263,"Career",NA,0,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,"marlon-brown-1",NA,48,"WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Georgia",1,8,NA,NA,NA,NA,NA,0,NA,NA,NA
"56","Noah Brown",0,21,0,"Career",NA,1,NA,0,0,0,0,NA,NA,"2-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"noah-brown-2",NA,42,"WR",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",0,0,"Ohio State",1,7,NA,222,NA,NA,NA,0,NA,NA,NA
"57","Reggie Brown",21,72,4.66666666666667,"Career",NA,0,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"reggie-brown-5",NA,NA,"WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Central Michigan",1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"58","Ryan Broyles",3,21,2.28571428571429,"Career",-45,0,0,NA,NA,NA,NA,NA,NA,"",0,0,1,0,NA,1,NA,0,0,0,0,"ryan-broyles-1",NA,288,"WR",2,-200,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",5,0,"Oklahoma",5,48,NA,NA,NA,NA,NA,0,NA,NA,NA
"59","Antonio Bryant",42,106,6.33962264150943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"antonio-bryant-1",NA,156,"WR",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Pitt",NA,26,NA,NA,NA,NA,NA,NA,NA,NA,"Career"
