"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"25","Thurston Armbrister",4,31,2.06451612903226,"Career",NA,41,NA,NA,NA,2,2,0,NA,"3-Jun",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"thurston-armbrister-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"Career",88,19,"Miami (FL)",129,NA,NA,235,NA,NA,0,0,NA,NA,NA
"26","Jeremiah Attaochu",13,61,3.40983606557377,"Career",NA,62,NA,NA,NA,4,1,0,NA,"3-Jun",1,0,NA,NA,NA,NA,5,NA,NA,NA,NA,"jeremiah-attaochu-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,NA,"Career",134,43.5,"Georgia Tech",196,NA,NA,242,NA,NA,0,5,5,NA,NA
"27","Genard Avery",5,26,3.07692307692308,"Career",NA,62,NA,0,0,3,1,NA,NA,"1-Jun",2,2,NA,0,NA,NA,5,NA,NA,NA,NA,"genard-avery-1",NA,12,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,NA,"Career",168,44.5,"Memphis",230,2,NA,255,NA,NA,NA,51,25.5,NA,NA
"28","Cliff Avril",62,140,7.08571428571429,"Career",NA,53,NA,0,0,0,0,0,NA,"",2,1,NA,0,0,NA,0,NA,NA,NA,NA,"cliff-avril-1",NA,6,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,0,"Career",104,32.5,"Purdue",157,1,0,NA,NA,NA,0,48,24,NA,NA
"29","Akeem Ayers",32,97,5.27835051546392,"Career",NA,55,NA,NA,NA,NA,NA,1,NA,"",6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"akeem-ayers-1",1,18,"LB",0,NA,NA,NA,NA,NA,1,0,7,7,0,14,NA,"Career",128,29.5,"UCLA",183,3,NA,NA,7,7,9,100,16.7,NA,NA
"30","Boss Bailey",24,64,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"boss-bailey-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Georgia",NA,NA,NA,NA,NA,NA,NA,0,0,NA,"Career"
"31","Jerome Baker",12,32,6,"Career",NA,69,NA,0,0,1,3,1,NA,"1-Jun",2,1,NA,0,0,NA,4,NA,NA,NA,NA,"jerome-baker-1",NA,12,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,"Career",90,17.5,"Ohio State",159,2,NA,225,NA,NA,NA,90,45,NA,NA
"32","Marcus Ball",1,18,0.888888888888889,"Career",NA,17,NA,NA,NA,0,0,0,NA,"",1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"marcus-ball-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",20,1.5,"Florida State",37,NA,NA,NA,NA,NA,0,54,54,NA,NA
"33","Antwan Barnes",10,88,1.81818181818182,NA,NA,45,NA,NA,NA,3,0,0,NA,"",1,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"antwan-barnes-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,NA,"Career",69,38,"Florida International",114,NA,NA,NA,NA,NA,0,23,23,NA,"Career"
"34","Nick Barnett",75,153,7.84313725490196,NA,NA,NA,NA,0,0,NA,1,1,NA,"",1,0,NA,0,0,NA,NA,NA,NA,NA,NA,"nick-barnett-1",NA,6,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Career",NA,NA,"Oregon State",NA,1,0,NA,NA,NA,9,0,0,NA,"Career"
"35","Lamin Barrow",2,32,1,"Career",NA,143,NA,NA,NA,1,3,0,NA,"2-Jun",0,0,NA,NA,NA,NA,7,NA,NA,NA,NA,"lamin-barrow-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,"Career",87,14.5,"LSU",230,NA,NA,232,NA,NA,4,0,NA,NA,NA
"36","Sam Barrington",4,29,2.20689655172414,"Career",NA,107,NA,0,0,4,0,0,NA,"",1,1,NA,0,0,NA,7,NA,NA,NA,NA,"sam-barrington-1",NA,6,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,0,"Career",151,21.5,"South Florida",258,1,0,NA,NA,NA,0,30,30,NA,NA
"37","Shaquil Barrett",25,77,5.19480519480519,"Career",NA,127,NA,0,0,3,4,1,NA,"2-Jun",3,2,NA,0,NA,NA,5,NA,NA,NA,NA,"shaquil-barrett-1",NA,18,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,"Career",118,31,"Colorado State",245,3,NA,250,NA,NA,15,101,33.7,NA,NA
"38","Joplo Bartu",12,48,4,"Career",NA,34,NA,NA,NA,1,0,0,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"joplo-bartu-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,"Career",61,12,"Texas State",95,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"39","Daren Bates",7,105,1.06666666666667,"Career",NA,141,NA,0,0,2,1,1,NA,"",3,0,NA,0,NA,NA,3,NA,NA,NA,NA,"daren-bates-1",NA,6,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,"Career",175,17.5,"Auburn",316,1,0,NA,NA,NA,62,12,4,NA,NA
"40","Jon Beason",61,93,10.494623655914,NA,NA,51,NA,NA,NA,0,0,0,NA,"",1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"jon-beason-1",1,NA,"LB",NA,NA,0,0,NA,0,1,0,3,3,0,1.5,NA,"Career",81,15.5,"Miami (FL)",132,NA,NA,NA,3,3,0,4,4,NA,"Career"
"41","Kendell Beckwith",5,16,5,"Career",NA,139,NA,0,0,3,3,NA,NA,"2-Jun",1,1,NA,0,NA,NA,8,NA,NA,NA,NA,"kendell-beckwith-1",1,6,"LB",0,NA,0,0,NA,0,1,0,5,5,0,7.5,NA,"Career",124,24.5,"LSU",263,1,NA,252,5,5,NA,29,29,NA,NA
"42","B.J. Bello",2,27,1.18518518518519,"Career",NA,12,NA,NA,NA,0,0,NA,NA,"3-Jun",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"bj-bello-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Illinois",13,NA,NA,225,NA,NA,NA,0,NA,NA,NA
"43","Nick Bellore",14,135,1.65925925925926,"Career",NA,242,NA,NA,NA,2,0,0,NA,"",5,0,NA,NA,NA,NA,4,NA,NA,NA,NA,"nick-bellore-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,"Career",229,32.5,"Central Michigan",471,NA,NA,NA,NA,NA,0,103,20.6,NA,NA
"44","Kevin Bentley",26,136,3.05882352941176,NA,NA,NA,NA,0,0,NA,1,1,NA,"",3,1,NA,0,0,NA,NA,NA,NA,NA,NA,"kevin-bentley-1",NA,12,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Career",NA,NA,"Northwestern",NA,2,0,NA,NA,NA,95,59,19.7,NA,"Career"
"45","Vince Biegel",6,38,2.52631578947368,"Career",NA,43,NA,NA,NA,2,0,NA,NA,"4-Jun",0,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"vince-biegel-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,"Career",88,28.5,"Wisconsin",131,NA,NA,245,NA,NA,NA,0,NA,NA,NA
"46","Keishawn Bierria",1,21,0.761904761904762,"Career",NA,86,NA,0,0,4,7,NA,NA,"1-Jun",0,0,NA,1,NA,NA,4,NA,NA,NA,NA,"keishawn-bierria-1",NA,6,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,"Career",154,19.5,"Washington",240,1,NA,223,NA,NA,NA,0,NA,NA,NA
"47","Bront Bird",4,30,2.13333333333333,"Career",NA,77,NA,NA,NA,1,0,0,NA,"",3,0,NA,NA,NA,NA,5,NA,NA,NA,NA,"bront-bird-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Career",165,15.5,"Texas Tech",242,NA,NA,NA,NA,NA,0,33,11,NA,NA
"48","Desmond Bishop",22,75,4.69333333333333,NA,NA,88,NA,NA,NA,1,0,0,NA,"",3,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"desmond-bishop-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Career",127,21,"California",215,NA,NA,NA,NA,NA,0,79,26.3,NA,"Career"
"49","Chase Blackburn",30,132,3.63636363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chase-blackburn-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Akron",NA,NA,NA,NA,NA,NA,NA,22,7.3,NA,"Career"
"50","Darryl Blackstock",7,74,1.51351351351351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"darryl-blackstock-1",NA,6,"LB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Virginia",NA,1,NA,NA,NA,NA,NA,9,9,NA,"Career"
"51","H.B. Blades",9,64,2.25,NA,NA,115,NA,NA,NA,NA,NA,NA,NA,"",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hb-blades-1",NA,6,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",153,14,"Pitt",268,1,NA,NA,NA,NA,NA,54,9,NA,"Career"
"52","Michael Boley",51,131,6.22900763358779,NA,NA,NA,NA,0,0,NA,1,0,NA,"",3,2,NA,0,0,NA,NA,NA,NA,NA,NA,"michael-boley-1",NA,12,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Career",NA,NA,"Southern Mississippi",NA,2,0,NA,NA,NA,15,129,43,NA,"Career"
"53","Devante Bond",3,32,1.5,"Career",NA,27,NA,NA,NA,1,1,NA,NA,"1-Jun",0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"devante-bond-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Career",46,11,"Oklahoma",73,NA,NA,236,NA,NA,NA,0,NA,NA,NA
"54","Jonathan Bostic",28,86,5.2093023255814,"Career",NA,78,NA,0,0,1,0,0,NA,"",5,1,NA,0,0,NA,2,NA,NA,NA,NA,"jonathan-bostic-1",NA,6,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,0,"Career",141,19,"Florida",219,1,0,NA,NA,NA,0,40,8,NA,NA
"55","Kyle Bosworth",5,39,2.05128205128205,"Career",NA,67,NA,NA,NA,2,0,0,NA,"",0,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"kyle-bosworth-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",106,13.5,"UCLA",173,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"56","Tyus Bowser",6,47,2.04255319148936,"Career",NA,67,NA,NA,NA,3,2,NA,NA,"3-Jun",2,0,NA,NA,NA,NA,9,NA,NA,NA,NA,"tyus-bowser-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,NA,"Career",70,28,"Houston",137,NA,NA,240,NA,NA,NA,14,7,NA,NA
"57","Gary Brackett",46,116,6.3448275862069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gary-brackett-1",2,NA,"LB",NA,NA,NA,NA,NA,NA,2,0,2,1,0,NA,NA,"Career",NA,NA,"Rutgers",NA,NA,NA,NA,2,1,NA,31,15.5,NA,"Career"
"58","Nigel Bradham",50,115,6.95652173913043,"Career",NA,117,NA,0,0,0,0,0,NA,"",3,0,NA,0,0,NA,5,NA,NA,NA,NA,"nigel-bradham-1",1,2,"LB",0,NA,0,0,NA,0,1,0,2,2,0,9,0,"Career",188,21.5,"Florida State",305,0,1,NA,2,2,0,30,10,NA,NA
"59","Stewart Bradley",20,76,4.21052631578947,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stewart-bradley-1",NA,6,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Career",53,9,"Nebraska",101,1,NA,NA,NA,NA,NA,43,43,NA,"Career"
"60","Aaron Brewer",7,117,0.957264957264957,"Career",NA,4,NA,NA,NA,0,0,0,NA,"3-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"aaron-brewer-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",12,0,"San Diego State",16,NA,NA,295,NA,NA,0,0,NA,NA,NA
"61","Lance Briggs",123,173,11.3757225433526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,0,NA,0,NA,NA,NA,NA,NA,NA,NA,"lance-briggs-1",26,12,"LB",NA,NA,0,12,12,1,25,2,163,6.5,2,NA,NA,"Career",NA,NA,"Arizona",NA,2,NA,NA,175,6.7,NA,23,7.7,NA,"Career"
"62","Jasper Brinkley",22,94,3.74468085106383,"Career",NA,51,NA,NA,NA,0,0,0,NA,"",3,0,NA,NA,NA,NA,4,NA,NA,NA,NA,"jasper-brinkley-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,"Career",142,20,"South Carolina",193,NA,NA,NA,NA,NA,0,40,13.3,NA,NA
"63","Kentrell Brothers",4,51,1.25490196078431,"Career",NA,173,NA,NA,NA,4,0,0,NA,"1-Jun",5,0,NA,NA,NA,NA,11,NA,NA,NA,NA,"kentrell-brothers-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,"Career",184,23.5,"Missouri",357,NA,NA,235,NA,NA,0,39,7.8,NA,NA
"64","Arthur Brown",3,48,1,"Career",NA,86,NA,0,0,0,0,0,NA,"",3,1,NA,0,0,NA,0,NA,NA,NA,NA,"arthur-brown-1",NA,6,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,"Career",132,17,"Overall",218,1,0,NA,NA,NA,0,47,15.7,NA,NA
"65","Blair Brown",3,28,1.71428571428571,"Career",NA,115,NA,NA,NA,2,0,NA,NA,"Jun-00",0,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"blair-brown-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,"Career",151,25.5,"Ohio",266,NA,NA,238,NA,NA,NA,0,NA,NA,NA
"66","Jatavis Brown",15,56,4.28571428571429,"2013",NA,50,NA,NA,NA,2,0,NA,11,"11-May",0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"jatavis-brown-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"2013",57,6.5,"Akron",107,NA,NA,222,NA,NA,NA,0,NA,NA,NA
"67","Jayon Brown",18,46,6.26086956521739,"2013",NA,0,NA,NA,NA,1,1,NA,5,"11-May",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"jayon-brown-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"2013",8,0,"UCLA",8,NA,NA,220,NA,NA,NA,0,NA,NA,NA
