"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"16","Jayrone Elliott",4,44,1.45454545454545,"Career",NA,54,NA,NA,NA,7,1,0,NA,"3-Jun",1,0,NA,NA,NA,NA,4,NA,NA,NA,NA,"jayrone-elliott-1",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,"Career",70,22.5,"Toledo",124,NA,NA,240,NA,NA,0,7,7,NA,NA
"17","Trey Flowers",32,61,8.39344262295082,"Career",NA,93,NA,NA,NA,4,1,0,NA,"4-Jun",1,0,NA,NA,NA,NA,13,NA,NA,NA,NA,"trey-flowers-1",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,"Career",97,47.5,"Arkansas",190,NA,NA,268,NA,NA,0,0,0,NA,NA
"18","Dee Ford",25,78,5.12820512820513,"Career",NA,33,NA,NA,NA,3,0,0,NA,"2-Jun",1,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"dee-ford-1",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,NA,"Career",60,27.5,"Auburn",93,NA,NA,246,NA,NA,0,3,3,NA,NA
"19","Randy Gregory",5,28,2.85714285714286,"Career",NA,57,NA,0,0,2,1,NA,NA,"6-Jun",2,1,NA,0,NA,NA,4,NA,NA,NA,NA,"randy-gregory-1",NA,6,"DE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,NA,"Career",62,26.5,"Nebraska",119,1,NA,240,NA,NA,NA,33,16.5,NA,NA
"20","Geneo Grissom",3,38,1.26315789473684,"Career",NA,33,NA,0,0,2,3,0,NA,"4-Jun",2,2,NA,0,NA,NA,8,NA,NA,NA,NA,"geneo-grissom-1",NA,12,"DE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,0,"Career",55,16.5,"Oklahoma",88,2,0,252,NA,NA,0,92,46,NA,NA
"21","Eli Harold",13,61,3.40983606557377,"Career",NA,66,NA,NA,NA,3,4,NA,NA,"4-Jun",2,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"eli-harold-1",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,NA,"Career",75,36.5,"Virginia",141,NA,NA,250,NA,NA,NA,1,0.5,NA,NA
"22","Jason Hatcher",39,147,4.24489795918367,"Career",NA,36,NA,NA,NA,0,0,NA,NA,"3-Jun",0,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"jason-hatcher-1",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,"Career",51,14,"Kentucky",87,NA,NA,252,NA,NA,NA,0,NA,NA,NA
"23","Trey Hendrickson",4,30,2.13333333333333,"Career",NA,57,NA,NA,NA,7,2,NA,NA,"4-Jun",0,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"trey-hendrickson-1",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,NA,"Career",68,41,"Florida Atlantic",125,NA,NA,266,NA,NA,NA,0,NA,NA,NA
"24","Sam Hubbard",10,31,5.16129032258065,"Career",NA,52,NA,NA,NA,3,1,NA,NA,"5-Jun",1,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"sam-hubbard-1",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,"Career",64,30,"Ohio State",116,NA,NA,265,NA,NA,NA,0,0,NA,NA
"25","Marcus Hudson",5,62,1.29032258064516,"Career",NA,1,NA,NA,NA,0,0,NA,NA,"4-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"marcus-hudson-3",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Arkansas State",2,NA,NA,265,NA,NA,NA,0,NA,NA,NA
