name,approximate_value,games.x,AVp16,X1,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games.y,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year,X
Ryan Groy,9,65,2.21538461538462,Career,,0.0,,,,0.0,0.0,0.0,,5-Jun,0.0,0.0,,,,,0.0,,,,,ryan-groy-1,,,OL,,,,,,,,,,,,0.0,,Career,3.0,0.0,Wisconsin,3.0,,,320.0,,,0.0,0.0,,,
Ben Grubbs,65,129,8.062015503875969,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,ben-grubbs-1,,,OL,,,,,,,,,,,,0.0,,Career,3.0,0.0,Auburn,3.0,,,,,,0.0,,,,Career
Chris Hairston,20,74,4.32432432432432,Career,,1.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,chris-hairston-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Clemson,2.0,,,,,,0.0,,,,
Rob Havenstein,35,68,8.23529411764706,Career,,0.0,,,,0.0,0.0,,,8-Jun,0.0,0.0,,,,,0.0,,,,,rob-havenstein-1,,,OL,,,,,,,,,,,,0.0,,Career,2.0,0.0,Wisconsin,2.0,,,333.0,,,,0.0,,,
Joe Hawley,29,91,5.098901098901099,Career,,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,,joe-hawley-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,UNLV,1.0,,,,,,0.0,0.0,,,
Jason Hill,10,54,2.96296296296296,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,jason-hill-2,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Georgia Tech,1.0,,,,,,0.0,,,,
Rodney Hudson,57,127,7.18110236220472,Career,,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,,rodney-hudson-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Florida State,1.0,,,,,,0.0,0.0,,,
Charley Hughlett,5,80,1.0,Career,,5.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,charley-hughlett-1,,,OL,,,,,,,,,,,,0.0,,Career,0.0,0.0,UCF,5.0,,,,,,0.0,,,,
Gabe Jackson,35,84,6.66666666666667,Career,,3.0,,0.0,0.0,0.0,0.0,1.0,,4-Jun,0.0,0.0,,0.0,0.0,,0.0,,,,,gabe-jackson-1,,12.0,OL,0.0,,,,,,,,,,,0.0,0.0,Career,3.0,0.0,Mississippi State,6.0,2.0,0.0,335.0,,,0.0,0.0,,,
Ja'Wuan James,31,65,7.63076923076923,Career,,0.0,,,,0.0,0.0,0.0,,6-Jun,0.0,0.0,,,,,0.0,,,,,jawuan-james-1,,,OL,,,,,,,,,,,,0.0,,Career,5.0,0.0,Tennessee,5.0,,,318.0,,,0.0,0.0,,,
J.J. Jansen,13,176,1.1818181818181799,Career,,5.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,jj-jansen-1,,,OL,,,,,,,,,,,,0.0,,Career,3.0,0.0,Notre Dame,8.0,,,,,,0.0,,,,
Luke Joeckel,23,50,7.36,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,luke-joeckel-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Texas A&M,1.0,,,,,,0.0,,,,
Charlie Johnson,65,134,7.76119402985075,,,2.0,,,,,,,,,0.0,0.0,,,,,,,,,,charlie-johnson-1,,24.0,OL,,,,,,,,,,,,0.0,,Career,2.0,0.0,Oklahoma State,4.0,4.0,,,,,,0.0,,,Career
Danny Johnson,2,16,2.0,Career,,1.0,,,,0.0,0.0,,,5-Jun,0.0,0.0,,,,,0.0,,,,,danny-johnson-1,,,OL,,,,,,,,,,,,0.0,,Career,0.0,0.0,Kent State,1.0,,,265.0,,,,0.0,,,
Lane Johnson,55,92,9.56521739130435,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,lane-johnson-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Oklahoma,1.0,,,,,,0.0,,,,
Spencer Johnson,24,125,3.072,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,spencer-johnson-2,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Utah State,1.0,,,,,,0.0,,,,
Wesley Johnson,11,53,3.3207547169811296,Career,,1.0,,,,0.0,0.0,0.0,,5-Jun,0.0,0.0,,,,,0.0,,,,,wesley-johnson-1,,,OL,,,,,,,,,,,,0.0,,Career,2.0,0.0,Vanderbilt,3.0,,,295.0,,,0.0,0.0,,,
Ben Jones,47,127,5.921259842519691,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,ben-jones-3,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Georgia,1.0,,,,,,0.0,,,,
Davin Joseph,53,116,7.31034482758621,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,davin-joseph-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Oklahoma,1.0,,,,,,0.0,,,,Career
Winston Justice,22,63,5.58730158730159,,,,,,,,,,,,,,,,,,,,,,,winston-justice-1,,12.0,OL,,,,,,,,,,,,,,Career,,,USC,,2.0,,,,,,,,,Career
Ryan Kalil,92,155,9.49677419354839,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,ryan-kalil-1,,,OL,,,,,,,,,,,,0.0,,Career,2.0,0.0,USC,2.0,,,,,,0.0,,,,Career
Brian Kelly,45,141,5.1063829787234,Career,,3.0,,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,brian-kelly-4,,,OL,,,,,,,,,,,,0.0,,Career,3.0,0.0,Buffalo,6.0,,,,,,0.0,,,,
Dennis Kelly,18,88,3.2727272727272703,Career,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,,,dennis-kelly-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Purdue,1.0,,,,,,,0.0,,,
Ryan Kelly,26,51,8.15686274509804,Career,,0.0,,,,0.0,0.0,,,5-Jun,0.0,0.0,,,,,0.0,,,,,ryan-kelly-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Alabama,1.0,,,297.0,,,,0.0,,,
Olin Kreutz,95,195,7.79487179487179,,,,,,,,,,,,,,,,,,,,,,,olin-kreutz-1,,6.0,OL,,,,,,,,,,,,,,Career,,,Washington,,1.0,,,,,,,,,Career
Kendall Lamm,15,59,4.06779661016949,Career,,0.0,,,,0.0,0.0,,,6-Jun,0.0,0.0,,,,,0.0,,,,,kendall-lamm-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Appalachian State,1.0,,,305.0,,,,0.0,,,
