,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
Career,,,,,,,,,,,,,,,Aaron Layne,,,,,,,,aaron-layne-1,6,,RB,,,,,,,6,0,14,2.3,0,,,Career,,,Virginia Tech,,,,,14,2.3,,,,
Career,4.2,,165,0.0,0.0,,,,,,,,19,0.0,Aaron Leak,0.0,381,,43.3,13,2207,5.8,aaron-leak-1,166,26,QB,0.0,93.3,0.0,24.0,24.0,1.0,165,4,228,1.4,4,,0.0,Career,,,Overall,,4,1.0,,252,1.5,,,,
Career,,,,,,,,,,,,,,0,Aaron Leeper,,,,,,,,aaron-leeper-1,407,72,RB,,,0,224,4.5,50,357,12,1439,4.0,12,,,Career,,,Buffalo,,12,,,1663,4.1,,,,
Career,,,,,,,,,,,,,,0.0,Aaron Lewis,,,,,,,,aaron-lewis-1,,6,TE,,,,,,,,,,,,,,Career,,,Syracuse,,1,,,,,,,,
Career,,14,,0,0,2,1,1,,,,,,0,Aaron Lewis,,,3,,,,,aaron-lewis-2,,6,DL,0,,,,,,,,,,,7.5,0,Career,26,18.5,Texas,40,1,0,,,,2,,,
Career,,,,,,,,,,,,,,1.0,Aaron Lockett,,,,,,,,aaron-lockett-1,,108,WR,3.0,,,,,,,,,,,,,Career,,,Kansas State,,18,,,,,,,,
Career,,,,,,,,,,,,,,,Aaron Lumpkin,,,,,,,,aaron-lumpkin-1,,12,TE,,,,,,,,,,,,,,Career,,,Mississippi State,,2,,,,,,,,
Career,,,,,,,,,,,,,,,Aaron Martin,,,,,,,,aaron-martin-1,,48,WR,,,,,,,,,,,,,,Career,,,Rutgers,,8,,,,,,,,
Career,,15.0,,,,0.0,0.0,0.0,,,0,0,,,Aaron Mason,,,0.0,,,,,aaron-mason-1,,,DB,,,,,,,,,,,,1.0,,Career,32.0,1.0,Wake Forest,47.0,,,,,,0.0,0,,
Career,,,,,,,,,,,2,0,,,Aaron McWhorter,,,,,,,,aaron-mcwhorter-1,,,DB,,,,,,,,,,,,,,Career,,,Vanderbilt,,,,,,,,48,24.0,
Career,,,,,,,,,,,,,,0.0,Aaron Meadows,,,,,,,,aaron-meadows-1,40,12,RB,,,1,27,2.7,10,30,1,110,3.7,2,,,Career,,,Memphis,,2,,,137,3.4,,,,
Career,,7.0,,1,0.0,0.0,0.0,0.0,,,0,0,,0.0,Aaron Meckstroth,0.0,,0.0,,,,,aaron-meckstroth-1,,1,DB,0.0,,,,,,,,,,,1.0,0.0,Career,8.0,2.0,West Virginia,15.0,0,0.0,,,,0.0,0,,
Career,,0,,,,0,0,0,,,,,,,Aaron Merz,,,0,,,,,aaron-merz-1,,,OL,,,,,,,,,,,,0.0,,Career,1,0.0,California,1,,,,,,0,,,
Career,,,,,,,,,,,,,,,Aaron Mickens,,,,,,,,aaron-mickens-1,71,12,RB,,,1,103,6.1,17,54,1,149,2.8,2,,,Career,,,Iowa,,2,,,252,3.5,,,,
Career,,1,,,,0,0,0,,,,,,,Aaron Miller,,,0,,,,,aaron-miller-1,,,DB,,,,,,,,,,,,0.0,,Career,4,0.0,Oregon State,5,,,,,,0,,,
Career,,6,,,,0,0,0,,,,,,,Aaron Mitchell,,,2,,,,,aaron-mitchell-1,,,DB,,,,,,,,,,,,0.0,,Career,24,1.0,Indiana,30,,,,,,0,,,
Career,,,,,,,,,,,,,,,Aaron Moorehead,,,,,,,,aaron-moorehead-1,,54,WR,,,,,,,,,,,,,,Career,,,Illinois,,9,,,,,,,,
Career,,,,,,,,,,,,,,0,Aaron Moser,,,,,,,,aaron-moser-1,,6,DB,0.0,,,,,,,,,,,,,Career,,,Miami (FL),,1,,,,,,,,
Career,,0,,,,0,0,0,,,,,,,Aaron Mueller,,,0,,,,,aaron-mueller-1,,,OL,,,,,,,,,,,,0.0,,Career,2,0.0,UNLV,2,,,,,,0,,,
Career,,,,,,,,,,,,,,0.0,Aaron Neal,,,,,,,,aaron-neal-1,,6,WR,,,,,,,,,,,,,,Career,,,West Virginia,,1,,,,,,,,
Career,,,,,,,,,,,,,,,Aaron Niay,,,,,,,,aaron-niay-1,2,,RB,,,,,,,2,0,1,0.5,0,,,Career,,,Wisconsin,,,,,1,0.5,,,,
